operator_company,well_name_number,api_number,job_type,address,longitude,latitude,date_stimulated,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume_value,volume_units,treatment_type,acid_percent,lbs_proppant,max_treatment_pressure_psi,max_treatment_rate_bbls_per_min,details
Telephone Number,BASIC GAME AND FISH 34-3,,,City State Zip Code,,,2013-05-22,,,,,0,barrels,,,,,,
"RIM OPERATING, INC",CORPS OF ENGINEERS 31-10,,,City State Zip Code,,,2014-12-07,,,,,25,barrels,,,,,,"Our conversation on May 2, 2014 discussed flood preparations for wells that your company operates near Williston, North Dakota. The Missouri River continues to rise and the possibility of additional flooding from the spring melt and recent rains in the near future exists. I urge you to closely monitor these sites and take the necessary preventative actions to eliminate or mitigate environmental damage if these sites become deluged with flood waters. The following e-mail from Allen Schlag of the National Weather Service also addresses the current situation of the Missouri River in the Williston area: 600 E Boulevard Ave - Dept 405, Bismarck, North Dakota 58505-0840 Phone (701)328-8020 Fax (701)328-8022 | Forecast Issuance Stage this past weekend before falling back below 20 ft. This, is temporary. While the Corps released a statement last week tempering their runoff expectations for the Missouri River overall, the attached graphic of mountain snowpack suggests we still have a pretty strong runoff into the Yellowstone and Missouri Rivers ahead of us. We will most likely cross over above flood stage as measured at the Lewis and Clark Bridge west of Williston at some point in the next "
Telephone Number,Lewis & Clark 2-4H,,,City State Zip Code,,,2013-05-22,,,,,0,barrels,,,,,,"Our conversation on May 2, 2014 discussed flood preparations for wells that your company operates near Williston, North Dakota. The Missouri River continues to rise and the possibility of additional flooding from the spring melt and recent rains in the near future exists. I urge you to closely monitor these sites and take the necessary preventative actions to eliminate or mitigate environmental damage if these sites become deluged with flood waters. The following e-mail from Allen Schlag of the National Weather Service also addresses the current situation of the Missouri River in the Williston area: 600 E Boulevard Ave - Dept 405, Bismarck, North Dakota 58505-0840 Phone (701 )328-8020 Fax (701 )328-8022 | Forecast Issuance Stage this past weekend before falling back below 20 ft. This, is temporary. While the Corps released a statement last week tempering their runoff expectations for the Missouri River overall, the attached graphic of mountain snowpack suggests we still have a pretty strong runoff into the Yellowstone and Missouri Rivers ahead of us. We will most likely cross over above flood stage as measured at the Lewis and Clark Bridge west of Williston at some point in the nex"
Oasis Petroleum API #: 33-053-03413-00-00,WADE FEDERAL 5300 21-30H,,,1001 Fannin Suite 202 ND Well File #: 20193,,,2021-01-09,It is a wildcat well positioned east of the Indian,,,,.,canrig,,,,5000,,"A graph was constructed to determine which markers and formation tops could be accurately used in landing the curve. Markers with more than 5 feet difference between the offsets were watched but not utilized in decision for moving the TVD target of the curve. Offset Well Target Isopachs 2,500 2,208 D 2,206 i 2,000 s 1,526 t 1,516 a 1,500 n c 1,000 763 | gases liberated from the formation by the drill bit and carried to the surface by the drilling fluid. The Bloodhound was interfaced with a Canrig electronic data recorder system. Canrig provided rate of penetration, on-off bottom and pump strokes to the Bloodhound and received total gas information from the Bloodhound for viewing on location and remotely. Under the direction of RPM well site geologist, rig crews were instructed to catch lagged drill cutting samples at 30’ intervals from 8,250 to the kick off point (KOP) at 10,172’. Samples were continuously logged at 30’ intervals during the curve and throughout the lateral section. Sampled drill cuttings were examined wet and dry under a binocular microscope using plain (broad spectrum) and transmitted light. Cuttings were evaluated for hydrocarbon “cut” by immersion in carbo-sol ("
OASIS PETROLEUM NORTH AMERICA LLC,CHALMERS 5300 31-19H,33-053-05924,,City State Zip Code,0.0,,2013-09-03,Entry Point Coordinates From Well Head Bottom Hole Coordinates From Well Head,1780,,,25,barrels,,,,9,0.4,"Report of Work Done Date Work Completed Casing or Liner Acidizing D D PlugWell Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details Before After Footages Qtr-Qtr Section Township Range Oil Bbls Oil Bbls F L F L 20 153 N 100 W Water Bbls Water Bbls | PlugWell Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details Before After Footages Qtr-Qtr Section Township Range Oil Bbls Oil Bbls F L F L 20 153 N 100 W Water Bbls Water Bbls Field Pool County Gas MCF Gas MCF Bakken McKenzie | 1. A schematic drawing of the facility which diagrms the testing, treating, routing, and transferring of"
OASIS PETROLEUM NORTH AMERICA LLC,FOLEY FEDERAL 5301 43-12H,,,City State Zip Code,,,2016-01-12,Entry Point Coordinates From Well Head Bottom Hole Coordinates From Well Head,1941,,,14,,,,,9,0.25,"Type of Incident : Treater Leak Field Name : BAKER County : MCKENZIE Section : 12 Township : 153 Range : 101 Quarter-Quarter : SW Quarter : SE Distance to nearest residence : 1 Mile Distance to nearest water well : 1 Mile Release Oil : 30 Barrels Release Brine : Release Other : Recovered Oil : 30 Barrels Recovered Brine : | Survey points shall be of such frequency to accurately determine the entire location of the well bore. Reserve pit Please be advised that conditions may be imposed on the use and reclamation of a drilling reserve pit on this site if specific site conditions warrant. Surface casing cement Tail cement utilized on surface casing must have a minimum compressive strength of 500 psi within 12 hours, and tail cement utilized on production casing must have a minimum compressive strength of 500 psi before drilling the plug or initiating tests. Logs NDAC Section 43-02-03-31 requires the running of a Cement Bond Log from which the presence of cement can be determined in every well in which production or intermediate casing has been set and a Gamma Ray Log must be run from total depth to ground level elevation of the well bore. All logs must be submitted as one paper copy a"
OASIS PETROLEUM NORTH AMERICA LLC,BRAY 5301 43-12H,,,State IZip Code,,,2014-08-21,Entry Point Coordinates From Well Head Bottom Hole Coordinates From Well Head,1941,,,14,,,,,9,0.16,"Report of Work Done Date Work Completed Casing or Liner Acidizing D D Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details) Before After Footages L IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls w | Plug Well Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaIn t to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation Approximate Start Date 0 Other Central production facility-commingle prod Well Name and Number 24-HOUR PRODUCTION RAT E (see details) Before After Footages L IQtr-Qtr I Section I Township I Range Oil Bbls Oil Bbls w F L F 12 153 N 101 Water Bbls Water Bbls Field I Pool I County Gas MCF Gas MCF | Please find the following attachments:1. A schematic drawing of the facility which diagrms the testing, treating, routing, and transferring"
Telephone Number,DAHL 15-11H SWSE 11 153 101 McKenzie,,,City State Zip Code,,,2015-03-25,Entry Point Coordinates From Well Head Bottom Hole Coordinates From Well Head,1977,,,49,,,,,14.730,15,"Report of Work Done Date Work Completed Casing or Liner Acidizing March 25, 2015 D Plug Well Fracture Treatment D D Notice of Intent to Begin a Workover Project that may Qualify for a Supplemental History Change Production Method Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation I Approximate Start Date 0 Other Gas Analysis Well Name and Number 24-HOUR PRODUCTION RATE Dahl 15-11H Before After Footages lls~F 'Qtr-Qtr 'Section 'Township 'Range Oil Bbls Oil Bbls | Plug Well Fracture Treatment D D Notice of Intent to Begin a Workover Project that may Qualify for a Supplemental History Change Production Method Tax Exemption Pursuant to NDCC Section 57-51.1-03. D D Temporarily Abandon Reclamation I Approximate Start Date 0 Other Gas Analysis Well Name and Number 24-HOUR PRODUCTION RATE Dahl 15-11H Before After Footages lls~F 'Qtr-Qtr 'Section 'Township 'Range Oil Bbls Oil Bbls s w 22 F L E I L SWSE 11 I 1 53 N 101 Water Bbls Water Bbls Field Pool County Gas MCF Gas MCF | Well Name and Number 24-HOUR PRODUCTION RATE Dahl 15-11H Before After Footages lls~F 'Qtr-Qtr 'Section 'Township 'Range Oil Bbls Oil Bbls s w 22 F L E I L SWSE 11 I 1 53 N 101 Water B"
Telephone Number,DAHL FEDERAL 2-15H NWNE 15 153 101 McKenzie,,,City State Zip Code,,,2012-05-30,"WITH 5.5"" CASING SET TO 13480'. PRECAUTIONS MUST BE TAKEN WHILE",1950,,,14,,,,,24,,"Name of Transporter l elephone Number l ransported rate Effective Targa Badlands LLC. 713-584-1061 100 January 31, 2014 Address City State Zip Code 1000 Louisiana St. Suite 4300 Houston TX 77002 The above named producer authorizes the above named purchaser to purchase the percentage of oil stated above which is produced from the lease designated above until further notice. The oil will be transported by the above named transporter. Other First Purchasers Purchasing From This Lease % Purchased Date Effective Other First Purchasers Purchasing From This Lease % Purchased Date Effective Other Transporters Transporting From This Lease % Transported Date Effective I utner 1 ransporters 1 ransporting From This Lease rolo 1 ransported I Date t:ttect1ve Comments I hereby swear or affirm that the information herein provided is true, complete and correct as determined from all available Date records. Janua 31, 2014 Printed Name Title Signtl., | Report of Work Done Date Work Completed Casing or Liner Acidizing May 30, 2012 D D PlugWell Fracture Treatment D D D Notice of Intent to Begin a Workover Project that may Qualify Supplemental History Change Production Method for a Tax Exemption PursuaI"
OASIS PETROLEUM NORTH AMERICA LLC,YUKON 5301 41-12T,,,or phone number,,,2013-12-25,"thicknesses expressed by gamma signatures in these wells, and the Oasis Petroleum",,,.,9.6,,,,,.,,"Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate Rate Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) (°/100ft) (°/100ft) 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 100.00 0.56 103.48 100.00 -0.11 0.48 0.43 0.56 0.56 0.00 First SDI Gyro Survey 200.00 0.39 98.05 199.99 -0.28 1.29 1.16 0.18 -0.17 -5.43 300.00 0.27 113.40 299.99 -0.42 1.84 1.65 0.15 -0.12 15.35 400.00 0.23 170.63 399.99 -0.71 2.09 1.81 0.24 -0.04 57.23 500.00 0.22 103.52 499.99 -0.95 2.31 1.96 0.25 -0.01 -67.11 600.00 0.36 124.11 599.99 -1.17 2.76 2.33 0.17 0.14 20.59 700.00 0.20 225.13 699.99 -1.47 2.89 2.37 0.44 -0.16 101.02 800.00 0.15 310.16 799.99 -1.51 2.67 2.15 0.24 -0.05 85.03 900.00 0.11 131.92 899.99 -1.49 2.64 2.13 0.26 -0.04 -178.24 8/1/2013 12:18:59PM Page 2 COMPASS 5000.1 Build 65 | Depth Inclination Azimuth Depth +N/-S +E/-W Section Rate Rate Rate (ft) (°) (°) (ft) (ft) (ft) (ft) (°/100ft) (°/100ft) (°/100ft) 1,000.00 0.33 62.42 999.99 -1.42 2.97 2.46 0.31 0.22 -69.50 1,100.00 0.29 257.16 1,099.99 -1.34 2.97 2.49 0.61 -0.04 -165.26 1,200.00 0.25 299.61 1,199.99 -1.29 2.54 2.08 0.20 -0.04 42.45 1,300.00 0.15 315.40 1,299.99 -1.09 2.26 1.87 0.11 -0.10 15.79 1,400.00 0.14 352.34 1,399.99 -0."
